Nome;Apelido;ISO;imagem

Athletico-PR;CAP;;cap.svg
Atlético-MG;CAM;;cam.svg
Avaí;AVA;;ava.svg
Bahia;BAH;;bah.svg
Botafogo;BOT;;bot.svg
CSA;CSA;;.svg
Ceará;CEA;;cea.svg
Chapecoense;CHA;;cha.svg
Corinthians;COR;;cor.svg
Cruzeiro;CRU;;cru.svg
Flamengo;FLA;;fla.svg
Fluminense;FLU;;flu.svg
Fortaleza;FOR;;for.svg
Goiás;GOI;;goi.svg
Grêmio;GRE;;gre.svg
Internacional;INT;;int.svg
Palmeiras;PAL;;pal.svg
Santos;SAN;;san.svg
São Paulo;SAO;;sao.svg
Vasco;VAS;;vas.svg	
América-MG;AME;;ame.svg
Atlético-GO;ACG;;acg.svg
Botafogo-SP;BSP;;bsp.svg
Bragantino;BRA;;bra.svg
Brasil de Pelotas;BRP;;brp.svg
Coritiba;CFC;;cfc.svg
CRB;CRB;;crb.svg
Criciúma;CRI;;cri.svg
Cuiabá;CUI;;cui.svg
Figueirense;FIG;;fig.svg
Guarani;GUA;;gua.svg
Londrina;LON;;lon.svg
Oeste;OES;;oes.svg
Operário-PR;OPE;;ope.svg
Paraná;PAR;;par.svg
Ponte Preta;PON;;pon.svg
São Bento;SBN;;sbn.svg
Sport;SPO;;spo.svg
Vila Nova;VIL;;vil.svg
Vitória;VIT;;vit.svg
TESTE1;TE1;br;no.svg
TESTE2;TE2;br;no.svg
